dayas,Macrophages,Healthy,Infected,Leishmanias,Days
0,2000,2000,0,100,0
96,2000,1973,27,0,1
192,2000,1973,27,0,2
288,2000,1973,27,0,3
384,2000,1973,27,0,4
480,2000,1973,27,0,5
576,2000,1973,27,0,6
672,2000,1973,27,0,7
768,2000,1973,27,0,8
864,2000,1973,27,0,9
960,2000,1973,27,0,10
1056,2000,1973,27,0,11
1152,2000,1973,27,0,12
1248,2000,1973,27,0,13
1344,2000,1973,27,0,14
1440,2000,1973,27,0,15
1536,2000,1973,27,0,16
1632,2000,1973,27,0,17
1728,2000,1973,27,0,18
1824,2000,1973,27,0,19
1920,2000,1973,27,0,20
2016,2000,1973,27,0,21
2112,2000,1973,27,0,22
2208,2000,1973,27,0,23
2304,2000,1973,27,0,24
2400,2000,1973,27,0,25
2496,2000,1973,27,0,26
2592,2000,1973,27,0,27
2688,2000,1973,27,0,28
2784,1973,1674,299,18,29
2880,1974,1672,302,0,30
2976,1975,1673,302,0,31
3072,1976,1674,302,0,32
3168,1977,1675,302,0,33
3264,1978,1676,302,0,34
3360,1979,1677,302,0,35
3456,1980,1678,302,0,36
3552,1980,1678,302,0,37
3648,1980,1678,302,0,38
3744,1980,1678,302,0,39
3840,1980,1678,302,0,40
3936,1980,1678,302,0,41
4032,1980,1678,302,0,42
4128,1980,1678,302,0,43
4224,1980,1678,302,0,44
4320,1980,1678,302,0,45
4416,1980,1678,302,0,46
4512,1980,1678,302,0,47
4608,1980,1678,302,0,48
4704,1980,1678,302,0,49
4800,1980,1678,302,0,50
4896,1980,1678,302,0,51
4992,1980,1678,302,0,52
5088,1980,1678,302,0,53
5184,1980,1678,302,0,54
5280,1980,1678,302,0,55
5376,1980,1678,302,0,56
5472,1681,125,1556,6198,57
5568,1678,26,1652,5975,58
5664,1678,7,1671,5908,59
5760,1678,2,1676,5895,60
5856,1678,0,1678,5892,61
5952,1678,0,1678,5892,62
6048,1678,0,1678,5892,63
6144,1678,0,1678,5892,64
6240,1678,0,1678,5892,65
6336,1678,0,1678,5892,66
6432,1678,0,1678,5892,67
6528,1678,0,1678,5892,68
6624,1678,0,1678,5892,69
6720,1678,0,1678,5892,70
6816,1678,0,1678,5892,71
6912,1678,0,1678,5892,72
7008,1678,0,1678,5892,73
7104,1678,0,1678,5892,74
7200,1678,0,1678,5892,75
7296,1678,0,1678,5892,76
7392,1678,0,1678,5892,77
